image_id,distances
2,0.19930756092071533
26,0.2036387026309967
16,0.2040761411190033
48,0.21904288232326508
2377786,0.2199733406305313
1506,0.21998469531536102
2389003,0.2209293246269226
2353277,0.22167649865150452
2320,0.22252269089221954
2357183,0.2226419597864151
2376987,0.22270514070987701
2410466,0.22330772876739502
2399301,0.22611457109451294
3152,0.2297711968421936
2385406,0.23082727193832397
2389254,0.23109734058380127
603,0.231357142329216
3474,0.2318563014268875
24,0.23232127726078033
1592134,0.2325126975774765
2369307,0.23365427553653717
2371893,0.23370622098445892
1591893,0.23402917385101318
2360852,0.23561467230319977
2356434,0.23565030097961426
2387025,0.23597104847431183
2323912,0.23743674159049988
2372,0.23798106610774994
2354655,0.23809532821178436
2384574,0.23823601007461548
2393694,0.23864291608333588
807,0.2388061136007309
1578,0.23954086005687714
2839,0.23954851925373077
2407834,0.23993422091007233
2318811,0.2400529831647873
2388669,0.24042834341526031
2317336,0.24046802520751953
2399630,0.2410804182291031
2410560,0.24115809798240662
3856,0.241181418299675
2412366,0.24123819172382355
498105,0.24266661703586578
2361595,0.24270781874656677
2353117,0.24273180961608887
327,0.2429741770029068
2358188,0.2431524246931076
2348093,0.24354510009288788
201,0.24373620748519897
2337926,0.24389402568340302
2401111,0.24405625462532043
2349083,0.24474547803401947
456,0.2448679357767105
2359297,0.2449467033147812
2323249,0.24528193473815918
2365128,0.24534407258033752
2376782,0.245355024933815
2368340,0.2453576922416687
49,0.2455221712589264
2369773,0.24574501812458038
2412670,0.24576213955879211
2335659,0.24606801569461823
1540,0.24609889090061188
2411784,0.24633748829364777
2256,0.24693447351455688
2334242,0.2470282018184662
2415747,0.2473900020122528
2362975,0.24802839756011963
2363154,0.24804504215717316
2412000,0.24812273681163788
2395761,0.2482253760099411
2320871,0.2483072578907013
1536,0.2483983188867569
2399074,0.24872633814811707
2407077,0.24874675273895264
2365252,0.24881696701049805
345,0.24904628098011017
2380621,0.24911630153656006
2411174,0.24954600632190704
2370592,0.24978967010974884
1591843,0.24984148144721985
2404036,0.25015345215797424
2384684,0.2502441704273224
2346624,0.2502804398536682
2396629,0.25040772557258606
2262,0.25047001242637634
2401652,0.2504722476005554
2382,0.25047627091407776
2324479,0.2505882978439331
2396775,0.25067242980003357
2376026,0.2506929934024811
3854,0.2507891356945038
2356498,0.2509106993675232
2380918,0.250934362411499
2389482,0.2509700655937195
4591,0.25135695934295654
2345703,0.25147852301597595
2400384,0.2518652081489563
161,0.2520797550678253
2298,0.25211092829704285
2345870,0.25220972299575806
2404850,0.2522386312484741
2354099,0.25256839394569397
2396321,0.2526010274887085
2337835,0.25268834829330444
2357447,0.25279638171195984
2407637,0.25317224860191345
2389424,0.2532043159008026
1513,0.25320443511009216
2325812,0.2532576322555542
2407720,0.25327733159065247
2320415,0.25337541103363037
2388768,0.25340238213539124
2374354,0.2534761130809784
2376664,0.2535321116447449
450,0.25357088446617126
2358417,0.2535933554172516
2293,0.2536778151988983
4982,0.25368380546569824
107906,0.25375884771347046
2404958,0.2537739872932434
2373546,0.25381678342819214
2411961,0.2539343237876892
3502,0.2539549171924591
150463,0.25395825505256653
2384137,0.2540462017059326
2402713,0.25421449542045593
2340382,0.2543976604938507
