Image_id,cluster
3,5
4,5
5,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
17,5
18,5
19,5
20,5
21,5
27,5
28,5
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
39,5
40,5
41,5
42,5
43,5
44,5
50,5
66,5
67,5
68,5
71,5
73,5
74,5
75,5
76,5
77,5
78,5
79,5
80,5
81,5
82,5
83,5
84,5
85,5
88,5
89,5
90,5
91,5
99,5
100,5
107,5
110,5
112,5
115,5
117,5
118,5
119,5
120,5
121,5
123,5
124,5
152,5
153,5
155,5
156,5
168,5
170,5
173,5
174,5
177,5
179,5
181,5
182,5
183,5
184,5
185,5
193,5
196,5
207,5
209,5
212,5
216,5
223,5
228,5
232,5
233,5
237,5
239,5
244,5
247,5
249,5
254,5
258,5
259,5
268,5
278,5
285,5
289,5
292,5
293,5
295,5
328,5
329,5
330,5
331,5
332,5
333,5
335,5
336,5
347,5
348,5
349,5
358,5
359,5
360,5
369,5
370,5
371,5
372,5
373,5
374,5
375,5
376,5
377,5
378,5
379,5
380,5
381,5
382,5
383,5
384,5
385,5
386,5
387,5
388,5
389,5
390,5
392,5
393,5
394,5
396,5
403,5
404,5
405,5
406,5
407,5
408,5
409,5
411,5
414,5
470,5
474,5
475,5
490,5
491,5
492,5
493,5
494,5
495,5
496,5
497,5
498,5
499,5
500,5
501,5
502,5
503,5
505,5
506,5
507,5
508,5
509,5
510,5
511,5
512,5
513,5
514,5
515,5
516,5
517,5
519,5
520,5
522,5
523,5
524,5
525,5
526,5
527,5
528,5
529,5
532,5
533,5
534,5
535,5
536,5
537,5
538,5
540,5
541,5
542,5
543,5
544,5
545,5
546,5
547,5
548,5
549,5
550,5
551,5
552,5
553,5
554,5
555,5
556,5
557,5
558,5
559,5
560,5
562,5
563,5
564,5
565,5
566,5
567,5
568,5
569,5
571,5
572,5
574,5
575,5
578,5
623,5
641,5
798,5
852,5
853,5
882,5
885,5
895,5
898,5
899,5
914,5
916,5
918,5
920,5
926,5
927,5
934,5
937,5
956,5
962,5
966,5
997,5
999,5
1002,5
1005,5
1007,5
1008,5
1009,5
1013,5
1014,5
1019,5
1020,5
1021,5
1022,5
1023,5
1024,5
1026,5
1027,5
1032,5
1039,5
1044,5
1045,5
1046,5
1049,5
1051,5
1052,5
1053,5
1054,5
1056,5
1057,5
1058,5
1059,5
1060,5
1061,5
1062,5
1063,5
1064,5
1065,5
1066,5
1067,5
1068,5
1073,5
1075,5
1076,5
1078,5
1079,5
1081,5
1083,5
1096,5
1097,5
1098,5
1099,5
1100,5
1102,5
1103,5
1104,5
1105,5
1106,5
1107,5
1108,5
1109,5
1110,5
1111,5
1112,5
1117,5
1119,5
1121,5
1122,5
1125,5
1127,5
1132,5
1137,5
1140,5
1142,5
1143,5
1144,5
1145,5
1149,5
1150,5
1151,5
1156,5
1162,5
1165,5
1166,5
1167,5
1168,5
1169,5
1170,5
1172,5
1173,5
1174,5
1175,5
1176,5
1177,5
1178,5
1179,5
1180,5
1181,5
1182,5
1183,5
1184,5
1185,5
1186,5
1187,5
1188,5
1190,5
1191,5
1192,5
1194,5
1195,5
1199,5
1200,5
1201,5
1202,5
1205,5
1206,5
1207,5
1208,5
1209,5
1210,5
1212,5
1213,5
1215,5
1217,5
1222,5
1223,5
1224,5
1225,5
1226,5
1233,5
1234,5
1240,5
1245,5
1251,5
1254,5
1256,5
1257,5
1260,5
1262,5
1263,5
1268,5
1272,5
1273,5
1276,5
1277,5
1278,5
1279,5
1280,5
1282,5
1284,5
1285,5
1293,5
1299,5
1300,5
1301,5
1302,5
1303,5
1304,5
1305,5
1306,5
1307,5
1308,5
1309,5
1310,5
1311,5
1312,5
1313,5
1315,5
1316,5
1317,5
1318,5
1343,5
1360,5
1361,5
1364,5
1365,5
1366,5
1367,5
1368,5
1369,5
1370,5
1371,5
1374,5
1386,5
1387,5
1388,5
1389,5
1390,5
1391,5
1392,5
1393,5
1394,5
1395,5
1396,5
1397,5
1398,5
1399,5
1401,5
1402,5
1514,5
1515,5
1516,5
1517,5
1518,5
1519,5
1520,5
1521,5
1522,5
1523,5
1524,5
1525,5
1526,5
1527,5
1544,5
1545,5
1546,5
1548,5
1549,5
1550,5
1551,5
1590,5
1591,5
1592,5
1598,5
1605,5
1618,5
1619,5
1620,5
1621,5
1661,5
1662,5
1663,5
1664,5
1665,5
1666,5
1667,5
1668,5
1669,5
1670,5
1671,5
1672,5
1673,5
1674,5
1675,5
1676,5
1677,5
1678,5
1679,5
1680,5
1681,5
1682,5
1683,5
1684,5
1685,5
1686,5
1687,5
1688,5
1689,5
1690,5
1691,5
1699,5
1700,5
1701,5
1702,5
1703,5
1704,5
1705,5
1706,5
1707,5
1708,5
1733,5
1734,5
1735,5
1741,5
1743,5
1744,5
1746,5
1748,5
1819,5
1824,5
1835,5
1917,5
1922,5
1923,5
1976,5
1977,5
1978,5
1979,5
1980,5
1981,5
1982,5
1983,5
1984,5
1985,5
1986,5
1987,5
1988,5
1989,5
1990,5
1991,5
1992,5
1993,5
1994,5
1995,5
1996,5
1997,5
1998,5
1999,5
2000,5
2001,5
2002,5
2003,5
2004,5
2005,5
2006,5
2007,5
2008,5
2009,5
2010,5
2011,5
2012,5
2013,5
2014,5
2015,5
2016,5
2017,5
2018,5
2019,5
2020,5
2021,5
2022,5
2023,5
2024,5
2025,5
2026,5
2027,5
2028,5
2029,5
2030,5
2031,5
2032,5
2035,5
2036,5
2037,5
2038,5
2039,5
2040,5
2041,5
2042,5
2044,5
2049,5
2050,5
2051,5
2052,5
2053,5
2054,5
2055,5
2056,5
2057,5
2058,5
2059,5
2060,5
2061,5
2062,5
2064,5
2065,5
2066,5
2067,5
2068,5
2069,5
2070,5
2071,5
2072,5
2073,5
2074,5
2075,5
2077,5
2078,5
2079,5
2080,5
2081,5
2082,5
2083,5
2088,5
2089,5
2090,5
2091,5
2092,5
2096,5
2097,5
2100,5
2101,5
2102,5
2103,5
2104,5
2105,5
2106,5
2112,5
2113,5
2114,5
2115,5
2116,5
2118,5
2120,5
2121,5
2122,5
2123,5
2124,5
2125,5
2129,5
2130,5
2131,5
2132,5
2133,5
2134,5
2135,5
2139,5
2140,5
2141,5
2142,5
2144,5
2145,5
2146,5
2147,5
2148,5
2149,5
2150,5
2151,5
2152,5
2153,5
2154,5
2155,5
2156,5
2157,5
2158,5
2159,5
2160,5
2161,5
2163,5
2164,5
2165,5
2166,5
2167,5
2168,5
2169,5
2170,5
2171,5
2172,5
2173,5
2174,5
2175,5
2176,5
2177,5
2178,5
2179,5
2180,5
2181,5
2182,5
2183,5
2184,5
2185,5
2186,5
2187,5
2188,5
2189,5
2190,5
2191,5
2192,5
2193,5
2194,5
2195,5
2196,5
2198,5
2199,5
2200,5
2201,5
2203,5
2204,5
2207,5
2208,5
2209,5
2210,5
2211,5
2212,5
2213,5
2214,5
2215,5
2447,5
2449,5
2450,5
2451,5
2452,5
2453,5
2454,5
2455,5
2456,5
2457,5
2458,5
2966,5
3023,5
